x                   rho                 u                   p                   
0.187500            2.866158            285.500226          288828.428438       
0.192500            2.795125            285.515221          288849.097456       
0.197500            2.731557            285.530602          288869.681143       
0.202500            2.675394            285.546038          288889.872925       
0.207500            2.626403            285.560993          288909.167444       
0.212500            2.584217            285.574596          288926.734551       
0.217500            2.548355            285.585442          288941.216885       
0.222500            2.518259            285.591257          288950.402910       
0.227500            2.493316            285.588370          288950.698406       
0.232500            2.472882            285.570844          288936.273829       
0.237500            2.456293            285.529083          288897.693770       
0.242500            2.442876            285.447606          288819.724958       
0.247500            2.431937            285.301487          288677.852461       
0.252500            2.422744            285.050712          288432.773074       
0.257500            2.414479            284.631541          288022.039974       
0.262500            2.406169            283.943176          287347.343074       
0.267500            2.396565            282.826928          286255.052263       
0.272500            2.383974            281.035550          284508.714783       
0.277500            2.366026            278.188938          281752.017428       
0.282500            2.339394            273.714256          277465.350646       
0.287500            2.299530            266.774134          270929.642212       
0.292500            2.240623            256.202422          261233.599758       
0.297500            2.156184            240.501780          247395.588224       
0.302500            2.040878            218.020462          228699.572119       
0.307500            1.894080            187.507731          205297.666200       
0.312500            1.724413            149.252645          178897.086132       
0.317500            1.551967            106.601307          152923.420205       
0.322500            1.403015            66.354396           131390.332758       
0.327500            1.296507            35.650707           116701.963221       
0.332500            1.233540            16.921953           108414.201001       
0.337500            1.201750            7.409237            104384.925979       
0.342500            1.187320            3.108073            102600.555027       
0.347500            1.181151            1.277636            101847.966239       
0.352500            1.178591            0.520284            101537.734892       
0.357500            1.177544            0.210870            101411.183328       
0.362500            1.177118            0.085217            101359.822469       
0.367500            1.176946            0.034360            101339.039444       
0.372500            1.176876            0.013824            101330.648244       
0.377500            1.176848            0.005549            101327.267200       
0.382500            1.176837            0.002222            101325.907783       
0.387500            1.176832            0.000887            101325.362472       
0.392500            1.176830            0.000353            101325.144292       
0.397500            1.176830            0.000140            101325.057246       
0.402500            1.176829            0.000055            101325.022629       
0.407500            1.176829            0.000022            101325.008909       
0.412500            1.176829            0.000009            101325.003493       
0.417500            1.176829            0.000003            101325.001363       
0.422500            1.176829            0.000001            101325.000529       
0.427500            1.176829            0.000001            101325.000204       
0.432500            1.176829            0.000000            101325.000078       
0.437500            1.176829            0.000000            101325.000030       
0.442500            1.176829            0.000000            101325.000011       
0.447500            1.176829            0.000000            101325.000004       
0.452500            1.176829            0.000000            101325.000002       
0.457500            1.176829            0.000000            101325.000001       
0.462500            1.176829            0.000000            101325.000000       
0.467500            1.176829            0.000000            101325.000000       
0.472500            1.176829            0.000000            101325.000000       
0.477500            1.176829            0.000000            101325.000000       
0.482500            1.176829            0.000000            101325.000000       
0.487500            1.176829            0.000000            101325.000000       
0.492500            1.176829            0.000000            101325.000000       
0.497500            1.176829            0.000000            101325.000000       
